MOL_ID,molecule_ID,molecule_name,mw,hdon,hacc,alogp,halflife,ob,caco2,bbb,dl,FASA,tpsa,rbn
MOL000015,15,glucoiberin(e),423.540,5,11,-2.332,,5.48995772233,-2.29784,-4.05084,0.25034,0.26486921,236.07,9
MOL000016,16,glucoiberin(e)_qt,261.380,1,6,-0.359,,17.6929398069,-0.54493,-1.06069,0.046614,0.28879929,159.42,6
MOL000017,17,"beta-D-Glucopyranose, 1-thio-, 1-(1-methoxy-N-(sulfooxy)-1H-indole-3-ethanimidate)",478.550,5,11,-0.040,,1.94315748578,-1.27807,-1.66346,0.55813,0.21518864,213.95,8
MOL000018,18,(+/-)-Isoborneol,154.280,1,1,1.975,11.3626,86.9841251754,1.27192,1.59796,0.05275,0,20.23,0
MOL000019,19,D-Camphene,136.260,0,0,2.927,11.2919,34.9792102593,1.80598,2.18648,0.039017,0,0,0
MOL000020,20,"12-senecioyl-2E,8E,10E-atractylentriol",312.390,0,4,2.496,6.073759,62.39646702,0.0083,-1.37414,0.22294,0.11677162,72.42,8
MOL000021,21,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",355.440,0,5,3.209,5.315508,60.312870701,0.32888,-1.08802,0.30534,0.05468975,75.66,10
MOL000022,22,"14-acetyl-12-senecioyl-2E,8Z,10E-atractylentriol",356.450,1,5,3.543,6.428948,63.3709182303,0.42142,-1.13888,0.29956,0,72.83,10
MOL000023,23,Hemo-sol,136.260,0,0,3.503,11.679068,39.8409788472,1.82929,2.11692,0.02231,0,0,1
MOL000024,24,alpha-humulene,204.390,0,0,5.035,,22.9768241266,1.87788,2.07698,0.061124,0,0,0
MOL000025,25,α-Longipinene,204.390,0,0,4.123,12.061184,53.2610838526,1.82854,2.13548,0.12477,0,0,0
MOL000026,26,stigmast-22E-en-3beta-ol,414.790,1,1,7.890,,10.3924992061,1.42855,1.12713,0.75173,0,20.23,5
MOL000027,27,alpha-Curcumene,202.370,0,0,5.337,,4.67726525367,1.93318,1.99377,0.055937,0,0,4
MOL000028,28,α-Amyrin,426.800,1,1,7.349,3.831888,39.5120897831,1.41514,1.28332,0.7629,0,20.23,0
MOL000029,29,beta-Humulene,204.390,0,0,5.089,,26.866432388,1.82014,2.01289,0.061239,0,0,0
MOL000030,30,(1R)-2-methyl-1-phenylprop-2-en-1-ol,148.220,1,1,2.317,-2.129028,75.1034694564,1.26587,1.38252,0.028357,0,20.23,2
MOL000031,31,"(3S)-3-[(1R)-1,5-dimethylhex-4-enyl]-6-methylenecyclohexene",204.390,0,0,5.135,,19.8609491736,1.88063,1.99287,0.055576,0,0,4
MOL000032,32,beta-Eudesmol,222.410,1,1,3.720,,26.0915572301,1.31702,1.38400,0.095471,0,20.23,1
MOL000033,33,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",428.820,1,1,8.540,5.217923,36.2284705584,1.44856,1.09243,0.78288,0,20.23,7
MOL000034,34,"2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol",222.410,1,1,3.701,,19.0331206245,1.37343,1.46215,0.072534,0,20.23,3
MOL000035,35,beta-Selinene,204.390,0,0,4.807,,24.3882141582,1.82578,2.11989,0.081081,0,0,1
MOL000036,36,beta-caryophyllene,204.390,0,0,4.753,,29.7022945117,1.82766,2.06535,0.089893,0,0,0
MOL000037,37,γ-elemene,204.390,0,0,4.929,,23.7859225264,1.86537,2.09899,0.060288,0,0,2
MOL000038,38,Akridin,179.230,0,1,3.353,6.819501,33.7124255211,1.62661,1.53450,0.097884,0,12.89,0
MOL000039,39,"(1S,2R,4R)-Neoiso-dihydrocarveol",154.280,1,1,2.583,11.455076,52.3950187368,1.38366,1.69238,0.029275,0,20.23,1
MOL000040,40,Scopoletol,192.180,1,4,1.616,,27.7734608153,0.71351,0.29931,0.076154,0,59.67,1
MOL000041,41,PHA,165.210,3,3,0.955,4.61834,41.6178844433,0.36023,0.21788,0.036077,0,63.32,3
MOL000042,42,LPG,89.110,3,3,-0.601,11.5838,87.69200501,-0.34365,-0.76534,0.0059892,0,63.32,1
MOL000043,43,atractylenolide i,230.330,0,2,3.323,7.099736,37.3654313365,1.29634,1.28500,0.1488,0,30.21,0
MOL000044,44,atractylenolideII,232.350,0,2,3.573,7.209052,47.5039802837,1.29724,1.37316,0.14799,0,26.3,0
MOL000045,45,atractylenolide iii,248.350,1,3,2.925,7.169618,68.1129985935,0.74506,0.63167,0.17145,0,46.53,0
MOL000046,46,atractylone,216.350,0,1,4.109,1.73847,41.1007739542,1.76369,1.85447,0.12713,0,13.14,0
MOL000047,47,juniper camphor,222.410,1,1,3.928,9.266679,33.2966085207,1.43681,1.60937,0.096606,0,20.23,0
MOL000048,48,"(5E,9Z)-3,6,10-trimethyl-4,7,8,11-tetrahydrocyclodeca[b]furan",216.350,0,1,4.632,-1.402133,43.1688023489,1.77271,1.82621,0.09533,0,13.14,0
MOL000049,49,3β-acetoxyatractylone,274.390,0,3,3.387,-1.305993,54.066717067,1.13182,1.07517,0.21906,0,39.44,2
MOL000050,50,GLY,75.080,3,3,-0.978,11.946,48.7371354815,-0.55597,-1.02919,0.0033178,0,63.32,1
MOL000051,51,Polymannose,180.180,5,6,-2.684,,1.76440792588,-1.94165,-4.53441,0.034581,0,118.22,5
MOL000052,52,Gulutamine,147.150,4,5,-0.924,,6.65591856909,-1.05342,-1.97001,0.021387,0,100.62,4
MOL000053,53,Methose,180.180,5,6,-2.693,,1.67735504787,-1.80248,-4.58177,0.034399,0,118.22,5
MOL000054,54,L-,174.240,7,6,-1.107,0.853607,47.64200167,-0.49475,-1.03774,0.031878,0,125.22,6
MOL000055,55,L-Lysin,146.220,5,4,-0.680,,29.3325621817,-0.66241,-1.44013,0.018179,0,89.34,5
MOL000056,56,DTY,181.210,4,4,0.688,0.964133,57.5545947054,-0.10054,-0.48594,0.046654,0,83.55,3
MOL000057,57,DIBP,278.380,0,4,3.924,3.938548,49.6340827018,0.84680,0.67940,0.13067,0,52.6,8
MOL000058,58,"2-[(2R,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-2-yl]propan-2-ol",222.410,1,1,3.666,7.609815,38.5922411595,1.33572,1.41907,0.087072,0,20.23,1
MOL000059,59,uridine,244.230,4,8,-2.450,,10.4879353113,-1.14305,-1.61259,0.11058,0,124.78,2
MOL000060,60,"selina-4(14),7(11)-dien-8-one",218.370,0,1,3.806,7.684951,32.3117142889,1.42409,1.57046,0.095813,0,17.07,0
MOL000061,61,Prolinum,115.150,2,3,-0.057,11.1341,77.5746812914,0.22374,0.28935,0.014161,0,49.33,1
MOL000062,62,biatractylolide,462.680,0,4,6.677,,17.4461659813,0.82865,0.36773,0.81468,0,52.6,1
MOL000063,63,ATRACTYLODES MACROCEPHALA,462.680,0,4,6.677,,14.5978870833,0.88058,0.60456,0.81472,0,52.6,1
MOL000064,64,D-Serin,105.110,4,4,-1.489,11.5135,83.59301703,-0.94329,-1.75482,0.0091338,0,83.55,2
MOL000065,65,ASI,133.120,4,5,-1.245,11.375,79.7370198521,-1.02271,-1.53500,0.017132,0,100.62,3
MOL000066,66,alloaromadedrene,204.390,0,0,4.223,12.514836,53.4613596861,1.82544,2.09907,0.10414,0,0,0
MOL000067,67,L-Valin,117.170,3,3,0.242,11.3439,53.3298055291,0.04105,-0.14396,0.011914,0,63.32,2
MOL000068,68,L-Ile,131.200,3,3,0.699,11.206,59.0513730242,0.05945,-0.10820,0.015008,0,63.32,3
MOL000069,69,palmitic acid,256.480,1,2,6.368,,19.2965647018,1.09151,0.99862,0.098573,0,37.3,14
MOL000070,70,Ethyl pivaloylacetate,172.250,0,3,1.687,1.916552,40.5219186178,0.81948,0.83477,0.03061,0,43.37,5
MOL000071,71,Istidina,155.180,4,4,-1.015,-5.717124,53.1753062753,-0.25034,-0.39524,0.029475,0,92,3
MOL000072,72,8β-ethoxy atractylenolide Ⅲ,276.410,0,3,3.682,8.34119,35.950919284,1.07824,1.12047,0.21079,0,35.53,2
MOL000073,73,ent-Epicatechin,290.290,5,6,1.920,0.626389,48.95984114,0.01948,-0.64284,0.24162,0.34225169,110.38,1
MOL000074,74,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",294.370,2,3,3.976,4.381483,67.9234911821,0.82858,-0.42281,0.23563,0.44782755,57.53,6
MOL000075,75,"(4E,6E)-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)-4",324.400,2,4,3.960,,4.52636946123,0.77376,-0.08827,0.30492,0.36674881,66.76,7
MOL000076,76,"1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadien-3one",354.430,2,5,3.944,,4.49357505507,0.69407,-0.37714,0.3849,0.33780175,75.99,8
MOL000077,77,Aldrich,154.180,1,3,1.530,11.3579,37.4955734498,1.23931,1.32338,0.032131,0.2268153,38.69,2
MOL000078,78,"6,7-dihydroxy-3,7-dimethyloct-2-enoic acid",202.280,3,4,1.075,,23.5570009797,-0.12636,-0.38417,0.047554,0.3082895,77.76,5
MOL000079,79,"6,7-dihydroxy-indan-4-carbaldehyde",178.200,2,3,2.112,13.752643,46.2657918905,0.69852,0.37205,0.061521,0.29635116,57.53,1
MOL000080,80,6-(4-hydroxyphenyl)-4-hydroxyhexan-2-one,208.280,2,3,1.454,,9.48870620592,0.25617,-0.32984,0.064285,0.36117744,57.53,5
MOL000081,81,6-hydroxy-indan-4-carbaldehyde,162.200,1,2,2.379,13.537413,44.4007187046,1.01212,0.78831,0.049383,0.32344273,37.3,1
MOL000082,82,"(3R,5R)-1,7-bis(4-hydroxyphenyl)heptane-3,5-diol",316.430,4,4,3.409,,5.54701065377,0.14171,-0.89900,0.25144,0.34837598,80.92,8
MOL000083,83,"(2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienal",168.260,1,2,2.100,5.052581,64.2761713734,0.52751,0.04239,0.028158,0.31503114,37.3,5
MOL000084,84,beta-daucosterol,576.950,4,6,6.337,,20.63193686,-0.19332,-0.88406,0.62747,0.22304766,99.38,9
MOL000085,85,beta-daucosterol_qt,414.790,1,1,8.084,5.020895,36.9139058327,1.30463,0.88071,0.75382,0.22305635,20.23,6
MOL000086,86,(24S)-5beta-Stigmastan-3beta-ol,416.810,1,1,8.334,,25.3221163528,1.40830,1.17940,0.74704,0.20196062,20.23,6
MOL000087,87,beta-sitosterol 3-O-glucoside,576.950,4,6,6.337,,20.6319368572,-0.44913,-1.17917,0.62465,0.23488908,99.38,9
MOL000088,88,beta-sitosterol 3-O-glucoside_qt,414.790,1,1,8.084,4.547095,36.9139058327,1.30455,0.90919,0.7549,0.23161308,20.23,6
MOL000089,89,catechol,110.120,2,2,1.295,,29.8607010782,1.08575,1.32074,0.01616,0.42386028,40.46,0
MOL000090,90,Curcumin,368.410,3,6,3.357,,5.1507681316,0.49605,-0.76441,0.41331,0.31799567,96.22,7
MOL000091,91,daucosterin,576.950,4,6,6.337,,20.6319368572,-0.28094,-1.00431,0.62621,0.21972373,99.38,9
MOL000092,92,daucosterin_qt,414.790,1,1,8.084,3.492595,36.9139058327,1.42385,1.14616,0.75549,0.22199425,20.23,6
MOL000093,93,daucosterol,576.950,4,6,6.337,,20.6319368572,-0.25675,-0.97470,0.62684,0.22694775,99.38,9
MOL000094,94,daucosterol_qt,414.790,1,1,8.084,4.956863,36.9139058327,1.29985,0.86892,0.75579,0.21856771,20.23,6
MOL000095,95,delta 7-stigmastenol,416.810,1,1,8.334,,25.3221163528,1.31471,0.97623,0.74807,0.20989478,20.23,6
MOL000096,96,(-)-catechin,290.290,5,6,1.920,0.383809,49.6763868,-0.02751,-0.78354,0.24162,0.34617227,110.38,1
MOL000098,98,quercetin,302.250,5,7,1.504,14.400548,46.4333481195,0.04842,-0.76890,0.27525,0.38453352,131.36,1
MOL000100,100,isoquercetin_qt,302.250,5,7,0.337,,5.92419029029,0.00086,-0.77890,0.27545,0.035255697,129.52,1
MOL000101,101,"(3aS,7R,7aR)-7-hydroxy-2,3,3a,6,7,7a-hexahydro-1H-indene-4-carbaldehyde",166.240,1,2,1.323,13.280462,59.9238902583,0.53055,0.33102,0.049174,0.25141758,37.3,1
MOL000102,102,meso-hannokinol,316.430,4,4,3.409,,5.54701065377,0.39092,-0.47691,0.25144,0.34128413,80.92,8
MOL000103,103,PHB,138.130,2,3,1.167,11.7743,30.1487978633,0.38611,0.20501,0.026675,0.45118508,57.53,1
MOL000104,104,"p-menth-1-ene-5,6-diol",170.280,2,2,1.697,,28.7998350261,0.55873,0.53382,0.038196,0.27994296,40.46,1
MOL000105,105,protocatechuic acid,154.130,3,4,0.900,,25.3664679574,0.10027,-0.17388,0.035092,0.43219224,77.76,1
MOL000106,106,PYG,126.120,3,3,1.028,,22.9778822728,0.69054,0.78572,0.022766,0.39706758,60.69,0
MOL000107,107,"quercertin,3-o-beta-d-glucopyranoside",464.410,8,12,-0.587,,1.85807825145,-1.55590,-2.34982,0.76904,0.30397391,210.51,4
MOL000108,108,quercetin 3-o-rhamnopyranosyl,610.570,10,16,-1.446,,3.20153312753,-2.46106,-3.27346,0.68243,0.31457746,269.43,6
MOL000109,109,"quercetin,3-o-glucoside",464.410,8,12,-0.587,,15.9804866262,-1.55220,-2.29056,0.76906,0.30401194,210.51,4
MOL000110,110,"quercetin,3-o-glucoside_qt",316.280,4,7,0.401,,7.47329283377,0.29846,-0.55180,0.30157,0.033427496,118.52,2
MOL000111,111,"quercetin,3-o-rutinoside",610.570,10,16,-1.446,,3.20153312753,-2.38155,-3.10105,0.683,0.30140099,269.43,6
MOL000112,112,quercetin-3-o-galactopyranoside,464.410,8,12,-0.587,,1.16574537204,-1.51748,-2.18497,0.76906,0.29897782,210.51,4
MOL000113,113,"(3aR,7R,7aS)-7-hydroxy-2,3,3a,6,7,7a-hexahydro-1H-indene-4-carbaldehyde",166.240,1,2,1.323,13.337162,62.0726090309,0.71156,0.80073,0.049166,0.22756675,37.3,1
MOL000114,114,vanillic acid,168.160,2,4,1.151,11.622444,35.4723531931,0.43417,0.09082,0.040917,0.34218386,66.76,2
MOL000115,115,Undecenal,168.310,0,1,4.111,7.112791,39.3450408,1.43098,1.60921,0.026608,0.25230575,17.07,8
MOL000116,116,Nonanal,142.270,0,1,3.222,6.35457,40.2763401507,1.30729,1.50223,0.015196,0.2058707,17.07,7
MOL000117,117,Cymol,134.240,0,0,3.510,,27.2038267287,1.85992,2.09815,0.022463,0.34152725,0,1
MOL000118,118,(L)-alpha-Terpineol,154.280,1,1,2.415,11.349096,48.7977727286,1.39392,1.72345,0.030772,0.26883334,20.23,1
MOL000119,119,ZINC02040970,222.410,1,1,4.562,4.728623,40.4333755876,1.43569,1.31354,0.06012,0.30294737,20.23,7
MOL000120,120,dec-2-enal,154.280,0,1,3.655,,18.5476973188,1.39679,1.59322,0.02049,0.26633793,17.07,7
MOL000121,121,Decanal,156.300,0,1,3.678,,29.8050599701,1.33684,1.43570,0.020124,0.20161143,17.07,8
MOL000122,122,"1,8-cineole",154.280,0,1,2.148,11.2921,39.7292164619,1.57306,2.06035,0.049041,0.24210331,9.23,0
MOL000123,123,geraniol,154.280,1,1,2.934,,23.9348108651,1.19222,1.14081,0.020271,0.27352819,20.23,4
MOL000124,124,citral,152.260,0,1,3.190,,22.5159357129,1.33303,1.42762,0.020754,0.33392501,17.07,4
MOL000125,125,(-)-alpha-Pinene,136.260,0,0,2.873,11.4218,46.2498150113,1.84526,2.29870,0.052565,0.24731636,0,0
MOL000126,126,(-)-nopinene,136.260,0,0,2.927,11.3189,44.83529174,1.80433,2.11917,0.052595,0.26974788,0,0
MOL000127,127,Neral,152.260,0,1,3.190,,19.4836356709,1.36372,1.50901,0.020741,0.33651868,17.07,4
MOL000128,128,NERYLACETATE,196.320,0,2,3.313,,25.9400016875,1.28068,1.28339,0.041771,0.2704843,26.3,6
MOL000129,129,Acetate C-8,172.300,0,2,3.175,,18.4327443605,1.24496,1.27721,0.026934,0.18363637,26.3,8
MOL000130,130,CAM,152.260,0,1,1.936,11.3381,67.1738128547,1.29116,1.70855,0.053027,0.27158174,17.07,0
MOL000131,131,EIC,280.500,1,2,6.391,7.497042,41.9044360216,1.16206,0.90315,0.14347,0.25038776,37.3,14
MOL000132,132,"(5beta,25S)-Spirostan-3beta,15alpha,23alpha-diol-3-O-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside",757.030,8,14,0.682,,29.8627638536,-2.22617,-2.89760,0.082452,0.19675924,217.22,6
MOL000133,133,7-Epitaxol,853.990,4,15,3.129,11.510735,45.1814328821,-0.97950,-1.53732,0.24267,0.27644894,221.29,14
MOL000134,134,"Delta3,5-Deoxytigogenin",412.670,1,3,4.728,,15.3939474612,1.03510,0.51609,0.81296,0.22228524,38.69,0
MOL000135,135,Deoxyvasicinone,186.230,0,3,1.291,10.525544,56.2937266568,1.03750,0.60912,0.095238,0.32066336,34.89,0
MOL000136,136,Dioscoreside C,1061.360,12,22,-1.247,,10.3183439386,-3.13472,-3.87332,0.027415,0.19684057,335.06,15
MOL000137,137,Diosgenin acetate,456.730,0,4,5.013,,16.7193735099,0.87918,0.35194,0.7243,0.18120137,44.76,2
MOL000138,138,Diosgenin palmitate,653.150,0,4,11.611,9.475063,33.5791733114,1.02633,0.14950,0.26752,0.19521344,44.76,16
MOL000139,139,Smitilbin,450.430,7,11,0.626,16.949347,37.6027839992,-1.39429,-2.06294,0.73665,0.36957332,186.37,3
MOL000140,140,"DIOSGENIN,DEHYDRO",396.670,0,2,5.426,,12.6680567429,1.45994,1.33876,0.82427,0.22496094,18.46,0
MOL000141,141,hydroxytyrosol,154.180,3,3,1.012,1.917179,57.5691742304,0.29579,-0.16620,0.032051,0.32364431,60.69,2
MOL000142,142,Calceolarioside B,478.490,7,11,1.241,,1.5822277604,-1.14653,-2.21212,0.69888,0.36319241,186.37,9
MOL000144,144,Kirenol,352.570,4,4,1.832,,23.1760809973,-0.59755,-1.48770,0.38628,0.21364337,80.92,4
MOL000145,145,leucosceptoside A,638.680,8,15,0.634,,4.1746781611,-1.95913,-3.15562,0.60511,0.31262007,234.29,12
MOL000148,148,trichotomoside,912.970,5,20,3.870,,3.33743641306,-1.09824,-2.33883,0.22965,0.27100953,270.96,22
MOL000149,149,inositol,180.180,6,6,-3.064,,18.85949242,-1.52485,-3.09003,0.047153,0.24412972,121.38,0
MOL000150,150,acacetin-7-glucurono-(1→2)-glucuronide,610.570,10,16,-1.133,,9.38687425136,-2.71304,-3.50305,0.69701,0.31781259,277.27,10
MOL000152,152,Acacetin-7-glucurono-(1-2)-glucuronide,636.560,8,17,-0.648,,28.9247757095,-1.84383,-2.66916,0.60349,0.26605237,272.34,8
MOL000153,153,clerodendrin A,606.730,1,12,0.870,,7.57068192329,-0.56558,-0.96135,0.75255,0.27882636,153.12,12
MOL000154,154,clerodendrin D,550.710,1,10,1.544,,12.0770259646,-0.42414,-1.03513,0.788,0.25600821,130.12,10
MOL000155,155,acteoside isomer,624.650,9,15,0.383,,3.04858985454,-1.55860,-2.74176,0.6054,0.33639985,245.29,11
MOL000156,156,decaffeoylacteoside,462.500,8,12,-1.594,,6.33477216847,-1.88459,-2.40224,0.63297,0.26154041,198.76,7
MOL000157,157,"[(2R,3S,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",478.490,7,11,1.241,,1.56092127503,-1.06372,-2.33145,0.6826,0.33594424,186.37,9
MOL000158,158,desrhamnosyl isoacteoside,478.490,7,11,1.241,,1.58222776,-1.0637,-2.0325,0.69905,0.34027132,186.37,9
MOL000159,159,"[(2R,3R,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-3,5-dihydroxy-4-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",624.650,9,15,0.383,,3.04858985454,-1.99479,-2.92859,0.60485,0.31377292,245.29,11
MOL000161,161,Isopropylidenkirenol,378.610,2,4,2.504,2.820177,57.08867982,0.23606,-0.3881,0.5358,0.21749748,58.92,2
MOL000162,162,beta-Chamigrene,204.390,0,0,4.708,8.591822,31.9911608917,1.81712,2.07386,0.080672,0,0,0
MOL000163,163,Atractylodin,182.230,0,1,3.828,0.832307,44.4928269005,1.99667,1.02849,0.05319,0.38396382,13.14,1
MOL000164,164,atractylone,216.350,0,1,4.109,1.519822,33.910172576,1.74210,1.82539,0.12716,0.23252234,13.14,0
MOL000165,165,"2-[(2S,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-2-yl]propan-2-ol",222.410,1,1,3.666,7.666607,37.6218372188,1.43634,1.53339,0.087069,0.23087147,20.23,1
MOL000166,166,ZINC01609418,222.410,1,1,4.309,,21.6157346297,1.41127,1.37026,0.067639,0.26132989,20.23,4
MOL000167,167,3β-hydroxyatractylone,232.350,1,2,3.008,,21.16508417,1.17681,0.97064,0.1481,0.22436436,33.37,0
MOL000168,168,()-2-Carene,136.260,0,0,2.873,11.416092,46.692808838,1.88603,2.26997,0.042621,0.25599167,0,0
MOL000169,169,alpha-Guaiene,204.390,0,0,4.993,,25.9346266289,1.81053,2.08753,0.072089,0.26078266,0,1
MOL000170,170,guaiene,204.390,0,0,5.134,,28.2136971337,1.83473,2.02725,0.071869,0.2317515,0,0
MOL000171,171,Guaiol,222.410,1,1,3.906,6.201362,38.7685894504,1.35993,1.46556,0.086489,0.22402164,20.23,1
MOL000172,172,Furol,96.090,0,2,0.985,4.5265,34.3510486894,1.08216,1.51485,0.010395,0.1955771,30.21,1
MOL000173,173,wogonin,284.280,2,5,2.585,17.746871,30.68456706,0.78776,0.03762,0.22942,0.31886211,79.9,2
MOL000174,174,"(2E,8E)-9-(2-furyl)nona-2,8-dien-4,6-diyn-1-ol",198.230,1,2,2.737,1.078658,47.604718347,1.32742,0.14344,0.069281,0.34999123,33.37,2
MOL000175,175,cyperene,204.390,0,0,4.318,12.569692,51.1046007793,1.80861,2.12602,0.10893,0.22589417,0,0
MOL000178,178,atractylenolide iii,248.350,1,3,2.925,7.336986,31.6570177695,0.75118,0.63802,0.17145,0.31507656,46.53,0
MOL000179,179,"2-Hydroxyisoxypropyl-3-hydroxy-7-isopentene-2,3-dihydrobenzofuran-5-carboxylic",306.390,3,5,2.589,4.902962,45.19912214,-0.34334,-0.90860,0.20496,0.34801924,86.99,4
MOL000180,180,Aractylenolide II,232.350,0,2,3.101,7.12946,46.1987260647,1.25087,1.35571,0.14795,0.31058228,26.3,0
MOL000181,181,atractylenolide III,248.350,1,3,2.925,8.074834,31.1508570604,0.74676,0.71826,0.17142,0.32342666,46.53,0
MOL000182,182,Atractyloyne,314.460,2,3,3.477,,5.20114546213,0.73289,-0.97720,0.22674,0.3431806,49.69,9
MOL000183,183,Beta- Eudesmol,222.410,1,1,3.720,,29.972985252,1.33510,1.56007,0.095421,0.25431508,20.23,1
MOL000184,184,NSC63551,412.770,0,1,7.564,5.776491,39.2536458582,1.42319,1.22169,0.7594,0.22116669,17.07,5
MOL000185,185,Stigmasterol 3-O-beta-D-glucopyranoside,574.930,4,6,5.893,,21.3181738714,-0.21627,-0.92632,0.62971,0.22843277,99.38,8
MOL000186,186,Stigmasterol 3-O-beta-D-glucopyranoside_qt,412.770,1,1,7.640,5.137843,43.8298515785,1.30881,0.90370,0.75812,0.22537784,20.23,5
MOL000187,187,butenolide B,234.320,1,3,2.478,6.078677,61.0042370519,0.64642,0.44646,0.15171,0.32861987,46.53,0
MOL000188,188,3β-acetoxyatractylone,274.390,0,3,3.387,-1.929281,40.5723347444,1.21589,1.03773,0.21913,0.21058908,39.44,2
MOL000189,189,acetyl atractylodinol,240.270,0,3,3.116,,25.4706483512,1.41953,0.68757,0.1253,0.30491114,39.44,4
MOL000190,190,"3,5-dimethoxy-4-glucosyloxyphenylallylalcohol",372.410,5,9,-0.334,,28.9974628025,-1.03817,-1.59309,0.31756,0.24753346,138.07,7
MOL000191,191,"3,5-dimethoxy-4-glucosyloxyphenylallylalcohol_qt",210.250,2,4,1.571,5.626384,72.1622390446,0.60758,0.19540,0.064002,0.21993014,58.92,4
MOL000192,192,"2-(1,4a-dimethyl-2,3-dihydroxydecahydronaphthalen-7-yl)isopropyl glucoside",418.590,6,8,0.032,,5.95552428613,-1.12010,-1.86357,0.47342,0.21809019,139.84,4
MOL000193,193,(Z)-caryophyllene,204.390,0,0,4.753,7.997357,30.2907481439,1.82425,2.15315,0.089886,0.28498748,0,0
MOL000194,194,patchoulene,204.390,0,0,4.123,12.505584,51.7094597054,1.80060,2.21066,0.10904,0.23477194,0,0
MOL000195,195,Mangostin,410.500,3,6,5.859,,24.3994479323,0.85108,0.02130,0.63319,0.23746413,100.13,5
MOL000196,196,L-Bornyl acetate,196.320,0,2,2.354,6.938021,65.5209219822,1.28902,1.58637,0.075447,0.22970334,26.3,2
MOL000197,197,Myrcene,136.260,0,0,3.688,,24.9637600776,1.83989,1.97983,0.015286,0.37053537,0,4
MOL000198,198,(R)-linalool,154.280,1,1,2.735,6.47726,39.804300843,1.32771,1.36071,0.022686,0.31705615,20.23,4
